,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
4311,4312,0.71,Ideal,G,VVS2,61.5,56.0,5.74,5.69,3.52,3504
7250,7251,1.01,Ideal,F,SI1,62.3,58.0,6.35,6.42,3.98,5646
4805,4806,0.32,Ideal,D,VS2,61.5,56.0,4.39,4.42,2.71,758
24236,24237,1.0,Premium,F,SI1,60.8,59.0,6.45,6.41,3.91,4234
17500,17501,0.31,Ideal,D,VS2,62.1,54.0,4.36,4.34,2.7,942
7449,7450,0.51,Very Good,H,VS1,62.3,56.0,5.1,5.13,3.18,1628
16092,16093,1.27,Ideal,H,VS2,60.3,56.0,7.08,7.02,4.25,7219
6559,6560,0.32,Ideal,E,VS1,62.3,54.0,4.37,4.4,2.73,825
1355,1356,0.78,Ideal,E,SI2,61.0,56.0,5.92,5.98,3.63,3053
13746,13747,0.28,Ideal,F,VVS2,62.5,57.0,4.18,4.21,2.62,642
3653,3654,0.63,Premium,E,SI2,58.9,59.0,5.64,5.6,3.31,1169
25196,25197,1.02,Very Good,H,VS2,60.2,62.0,6.46,6.54,3.91,5335
10661,10662,0.31,Ideal,D,VS2,62.2,55.0,4.34,4.31,2.69,942
9820,9821,1.09,Very Good,H,SI1,61.7,59.0,6.53,6.59,4.05,4849
3446,3447,0.24,Ideal,F,VS2,62.2,57.0,3.96,4.01,2.48,419
22894,22895,1.58,Ideal,I,VS2,61.4,55.0,7.49,7.55,4.62,10197
20322,20323,0.58,Ideal,G,VS1,62.6,54.0,5.3,5.34,3.33,1884
4390,4391,0.31,Ideal,I,VVS1,62.2,53.0,4.36,4.38,2.72,557
12969,12970,0.36,Ideal,H,IF,61.6,56.0,4.56,4.59,2.82,912
22397,22398,0.41,Ideal,J,VS1,60.2,57.0,4.85,4.81,2.91,830
12038,12039,2.01,Good,G,SI1,63.1,59.0,7.98,8.03,5.05,18572
9117,9118,1.2,Ideal,G,VS1,61.7,56.0,6.84,6.77,4.2,5766
18469,18470,0.31,Premium,G,VS2,61.5,59.0,4.33,4.35,2.67,544
9551,9552,0.9,Good,E,SI1,63.8,61.0,6.08,6.05,3.87,3332
20303,20304,1.5,Good,G,VS2,63.7,57.0,7.29,7.25,4.63,10669
17656,17657,0.4,Premium,G,SI2,,61.0,4.74,4.69,2.92,765
2776,2777,0.75,Very Good,H,VS1,59.3,59.0,5.87,6.0,3.52,2513
20264,20265,1.22,Premium,F,VS2,63.0,60.0,6.85,6.74,4.28,7154
23637,23638,0.31,Very Good,F,VS2,61.4,58.4,4.37,4.4,2.69,667
12910,12911,0.62,Ideal,H,VS1,63.0,56.0,5.43,5.36,3.4,1808
22328,22329,0.76,Ideal,E,SI1,61.7,57.0,5.88,5.85,3.62,2814
5494,5495,2.02,Ideal,H,VS2,61.6,56.0,8.17,8.12,5.02,18050
23926,23927,0.33,Premium,H,VS1,62.4,60.0,4.42,4.39,2.75,693
22650,22651,1.2,Very Good,F,SI1,62.7,58.0,6.74,6.72,4.22,6973
24736,24737,0.32,Premium,H,VS1,,58.0,4.44,4.38,2.72,720
1895,1896,1.7,Ideal,G,VS2,62.9,55.0,7.66,7.6,4.8,15756
24535,24536,0.7,Premium,E,SI1,61.1,60.0,5.69,5.56,3.44,1971
15918,15919,0.3,Premium,D,VS2,61.0,60.0,4.29,4.33,2.63,710
7007,7008,0.42,Ideal,G,IF,62.1,56.0,4.8,4.83,2.99,1400
69,70,0.32,Premium,J,SI1,62.2,59.0,4.37,4.41,2.73,365
3932,3933,0.31,Ideal,F,VS2,,57.0,4.34,4.3,2.71,802
26746,26747,0.63,Ideal,I,VVS1,62.8,58.0,5.44,5.49,3.43,2064
7255,7256,1.5,Good,J,SI1,59.1,64.0,7.32,7.43,4.36,6687
26650,26651,0.71,Ideal,E,VS2,61.8,57.0,5.73,5.7,3.53,2654
18840,18841,1.01,Ideal,E,SI2,61.5,55.0,6.45,6.49,3.98,4504
16461,16462,1.0,Ideal,I,VS1,63.1,57.0,6.32,6.39,4.01,4664
8849,8850,0.33,Premium,E,VS2,62.0,59.0,4.39,4.41,2.73,723
89,90,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,665
9849,9850,1.73,Good,E,I1,63.6,59.0,7.6,7.56,4.82,8370
10795,10796,1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
2212,2213,0.53,Ideal,H,SI2,61.6,54.0,5.22,5.26,3.23,1020
10940,10941,0.56,Ideal,D,SI1,61.2,56.0,5.34,5.31,3.26,1814
1756,1757,1.02,Ideal,F,SI2,61.4,56.0,6.5,6.47,3.98,4662
11675,11676,0.44,Very Good,J,VS1,63.1,57.0,4.87,4.83,3.06,891
26484,26485,1.5,Ideal,I,VS2,62.6,55.0,7.39,7.31,4.6,9408
8740,8741,1.0,Very Good,D,SI1,59.8,59.0,6.47,6.51,3.88,5671
1237,1238,1.7,Premium,D,SI2,63.0,59.0,7.67,7.6,4.81,11138
4689,4690,0.71,Fair,G,SI2,64.8,58.0,5.6,5.57,3.62,2055
6646,6647,0.23,Very Good,E,VVS2,61.1,58.0,3.93,3.99,2.42,505
14313,14314,0.4,Premium,F,VVS2,60.7,58.0,4.75,4.7,2.87,1163
6524,6525,0.44,Ideal,E,VVS1,61.4,55.0,4.92,4.95,3.03,1868
19663,19664,0.5,Ideal,H,SI1,59.2,62.0,5.17,5.2,3.07,1160
4329,4330,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1612
7940,7941,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,1723
8687,8688,0.71,Very Good,H,VS1,62.8,59.0,5.61,5.7,3.55,2428
1150,1151,1.51,Premium,I,VVS1,61.0,61.0,7.47,7.34,4.52,10824
12391,12392,2.06,Premium,G,SI1,61.5,58.0,8.2,8.15,5.03,18439
22959,22960,0.9,Good,H,SI2,60.4,61.0,6.14,6.22,3.73,3114
22822,22823,0.7,Very Good,H,VS2,62.1,55.0,5.66,5.71,3.53,2106
5196,5197,0.24,Very Good,F,VVS1,59.0,58.0,4.07,4.1,2.41,552
19699,19700,2.0,Premium,E,SI2,62.2,56.0,8.14,8.06,5.04,17760
9437,9438,0.91,Very Good,F,VS1,63.5,56.0,6.18,6.14,3.91,4739
1548,1549,0.4,Premium,G,VVS1,60.9,57.0,4.8,4.76,2.91,1200
3686,3687,0.31,Very Good,E,SI1,58.3,60.0,4.48,4.51,2.62,544
14633,14634,2.0,Fair,H,SI2,68.7,55.0,7.9,7.67,5.35,9549
14928,14929,0.5,Ideal,E,SI1,62.8,57.0,5.05,5.08,3.18,1331
19743,19744,1.13,Ideal,H,VS2,62.0,57.0,6.7,6.66,4.14,5885
19324,19325,0.64,Premium,F,SI1,60.1,60.0,5.62,5.57,3.36,1901
20809,20810,0.72,Ideal,J,SI1,62.3,56.0,5.75,5.78,3.59,1864
16936,16937,0.71,Good,G,VS1,58.1,59.0,5.85,5.92,3.42,2628
20582,20583,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,1067
4934,4935,1.02,Premium,G,SI1,61.1,58.0,6.52,6.48,3.97,5255
21913,21914,1.21,Very Good,G,SI1,63.4,60.0,6.68,6.63,4.22,4637
6450,6451,2.02,Ideal,J,SI2,62.7,56.9,8.03,8.07,5.05,11314
21876,21877,1.46,Premium,I,SI2,62.4,59.0,7.21,7.16,4.49,5519
22798,22799,1.51,Very Good,H,SI1,60.6,59.0,7.41,7.45,4.5,10331
14776,14777,1.12,Ideal,F,SI2,61.8,55.0,6.69,6.66,4.13,4140
17108,17109,1.0,Ideal,E,I1,61.8,56.0,6.38,6.43,3.96,3520
13445,13446,0.4,Premium,E,VS1,61.8,56.0,4.77,4.74,2.94,1125
16778,16779,1.08,Premium,F,SI1,61.0,59.0,6.67,6.57,4.04,5487
1864,1865,0.4,Ideal,H,VVS2,62.3,57.0,4.73,4.71,2.94,1125
11880,11881,2.11,Premium,H,SI2,61.0,58.0,8.31,8.27,5.06,13233
18733,18734,0.71,Ideal,F,VS1,61.9,56.0,5.69,5.72,3.53,3710
4348,4349,1.02,Ideal,E,SI2,62.9,57.0,6.44,6.38,4.03,4798
20030,20031,1.26,Premium,E,VS1,60.7,58.0,7.02,7.04,4.27,10367
755,756,1.03,Premium,F,VS2,62.6,58.0,6.45,6.4,4.02,5774
19413,19414,0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55,2770
21012,21013,0.72,Premium,I,SI1,62.0,52.0,5.71,5.67,3.53,1922
25450,25451,0.9,Very Good,E,VS2,61.3,58.0,6.16,6.23,3.8,5887
3605,3606,0.42,Ideal,G,VS2,61.8,56.0,4.81,4.84,2.98,847
4682,4683,1.01,Ideal,G,VS2,62.4,57.0,6.39,6.36,3.98,6340
10600,10601,0.43,Ideal,E,VS2,62.0,57.0,4.85,4.82,3.0,1048
6900,6901,0.32,Premium,E,VVS1,60.5,58.0,4.47,4.42,2.69,1020
12857,12858,1.21,Premium,F,VS2,60.1,55.0,7.01,6.91,4.18,8870
2193,2194,1.02,Premium,E,SI1,61.5,58.0,6.51,6.46,3.99,5278
1544,1545,1.31,Very Good,E,VS2,63.1,56.0,6.95,6.9,4.37,10094
3860,3861,0.41,Ideal,E,VS1,,55.0,4.77,4.8,2.97,1079
13736,13737,1.26,Premium,I,VS2,61.2,59.0,7.03,6.9,4.26,6350
10528,10529,0.31,Ideal,G,IF,62.7,57.0,4.34,4.31,2.71,988
3032,3033,0.31,Premium,J,VS2,62.5,60.0,4.36,4.31,2.71,488
279,280,0.46,Good,D,VS2,63.2,56.0,4.89,4.92,3.1,1205
16850,16851,0.32,Premium,G,VS2,61.0,59.0,4.42,4.46,2.71,561
14104,14105,0.33,Premium,H,IF,62.9,58.0,4.43,4.38,2.77,1010
6406,6407,0.29,Very Good,H,VS1,62.2,56.0,4.24,4.27,2.64,444
10348,10349,0.9,Good,G,SI1,60.0,61.0,6.19,6.22,3.72,3752
10422,10423,2.33,Very Good,H,SI2,63.2,56.0,8.44,8.35,5.31,13500
24154,24155,1.18,Premium,H,SI1,61.6,59.0,6.82,6.72,4.17,6159
4001,4002,0.32,Ideal,F,VVS1,62.6,56.0,4.37,4.41,2.75,913
23214,23215,0.59,Premium,J,VS2,62.7,61.0,5.35,5.28,3.33,1055
13930,13931,1.08,Premium,F,SI2,60.2,59.0,6.6,6.65,3.99,4407
13658,13659,0.91,Ideal,I,SI1,62.4,56.0,6.2,6.24,3.88,3574
13964,13965,0.33,Ideal,F,VVS2,60.7,57.0,4.48,4.51,2.73,824
26714,26715,1.54,Premium,G,SI1,60.5,61.0,7.47,7.44,4.51,11574
22504,22505,1.15,Very Good,H,SI2,,57.0,6.68,6.72,4.15,4654
13829,13830,0.71,Very Good,I,VS1,63.1,57.0,5.68,5.58,3.55,2202
5225,5226,0.55,Very Good,G,VVS1,60.8,58.0,5.25,5.3,3.21,1838
7049,7050,1.21,Good,F,VS2,63.7,58.0,6.67,6.71,4.26,7911
21198,21199,0.52,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18,1689
5158,5159,1.53,Ideal,I,SI1,,57.0,7.33,7.37,4.59,8981
16143,16144,1.07,Good,H,SI1,58.1,60.0,6.72,6.78,3.92,4832
14309,14310,0.31,Premium,G,VS1,61.2,59.0,4.37,4.35,2.67,802
26216,26217,1.43,Premium,F,SI1,61.5,58.0,7.27,7.22,4.45,8809
24194,24195,0.7,Very Good,F,VVS1,60.6,60.0,5.67,5.7,3.45,3536
3261,3262,0.7,Very Good,F,SI2,63.2,59.0,5.66,5.61,3.56,1792
4548,4549,0.9,Ideal,D,SI1,62.5,57.0,6.12,6.2,3.85,4579
17309,17310,1.35,Ideal,G,VS1,62.7,57.0,7.02,7.07,4.42,10656
2366,2367,0.8,Very Good,F,SI1,63.5,55.0,5.86,5.89,3.73,2914
23233,23234,1.2,Ideal,G,VS1,,56.0,6.82,6.77,4.23,8596
26917,26918,0.5,Very Good,G,SI1,63.3,59.0,4.99,5.02,3.17,1187
10076,10077,0.34,Very Good,I,VVS2,61.3,57.0,4.49,4.52,2.76,596
8176,8177,0.7,Ideal,E,VS2,62.1,57.0,5.68,5.73,3.54,2633
14837,14838,0.58,Ideal,G,SI2,62.1,54.0,5.36,5.39,3.34,1213
14620,14621,0.72,Very Good,H,VS2,61.4,57.0,5.75,5.79,3.54,2462
6341,6342,0.31,Ideal,E,VS2,60.8,54.0,4.4,4.39,2.67,872
9756,9757,1.0,Good,D,VS1,62.7,62.0,6.21,6.23,3.9,7672
6492,6493,0.33,Ideal,E,VVS1,61.6,55.0,4.44,4.46,2.74,1130
5426,5427,0.4,Very Good,G,SI1,62.6,55.3,4.69,4.71,2.93,795
2709,2710,0.34,Premium,E,VS1,59.9,58.0,4.54,4.58,2.73,805
19777,19778,0.53,Premium,H,SI2,62.5,60.0,5.16,5.18,3.23,1015
6961,6962,0.42,Ideal,G,VS2,62.2,56.0,4.8,4.82,2.99,847
5295,5296,1.0,Premium,F,SI1,59.7,60.0,6.51,6.48,3.88,4939
6648,6649,0.36,Ideal,G,VS1,61.1,55.0,4.63,4.66,2.84,746
7953,7954,1.0,Premium,J,SI1,58.7,58.0,6.55,6.51,3.83,3920
12493,12494,0.31,Ideal,E,VVS1,61.7,56.0,4.38,4.41,2.71,890
827,828,0.3,Good,G,VS1,63.6,54.0,4.31,4.25,2.72,776
21591,21592,1.53,Very Good,H,SI1,61.0,61.0,7.4,7.45,4.53,10468
2228,2229,0.29,Very Good,D,SI1,59.8,55.0,4.3,4.35,2.58,737
11899,11900,0.8,Very Good,E,SI2,62.4,55.0,5.88,5.92,3.68,2623
19116,19117,0.72,Ideal,E,VS1,61.2,56.0,5.78,5.83,3.55,3409
2662,2663,0.31,Good,H,VS2,63.8,56.0,4.33,4.29,2.75,470
25865,25866,0.51,Ideal,H,VS2,61.2,53.0,5.22,5.18,3.18,1312
26772,26773,0.71,Ideal,E,SI2,62.3,57.0,5.66,5.74,3.55,2190
2585,2586,0.31,Premium,F,VS2,62.9,58.0,4.31,4.27,2.7,802
22553,22554,0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.36,2.69,830
14182,14183,1.01,Very Good,G,VS2,61.6,61.0,6.36,6.46,3.95,5759
9901,9902,0.31,Ideal,H,VS2,62.1,55.0,4.35,4.32,2.69,628
721,722,1.76,Very Good,G,VS1,62.8,55.4,7.7,7.74,4.85,18014
15370,15371,0.7,Very Good,F,SI2,56.9,62.0,5.87,5.9,3.35,2177
794,795,0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,1749
19382,19383,1.02,Premium,E,VS2,58.4,57.0,6.64,6.59,3.86,6854
3747,3748,0.4,Very Good,E,VVS2,61.4,56.0,4.74,4.81,2.93,988
431,432,0.51,Good,D,SI2,63.9,55.0,5.1,5.04,3.24,1268
13795,13796,0.55,Ideal,E,SI1,62.1,55.0,5.21,5.26,3.25,1551
26755,26756,0.52,Very Good,F,VVS2,61.5,57.0,5.18,5.22,3.19,2079
8543,8544,1.05,Very Good,E,SI1,62.2,56.0,6.49,6.56,4.06,5494
21507,21508,0.42,Ideal,G,VS1,61.8,56.0,4.84,4.8,2.98,984
23597,23598,1.0,Very Good,H,SI2,63.7,58.0,6.31,6.35,4.03,4395
26172,26173,1.5,Premium,G,SI1,60.0,61.0,7.48,7.43,4.47,9954
6574,6575,1.74,Ideal,I,SI2,61.6,57.0,7.67,7.74,4.75,8896
11094,11095,2.03,Ideal,H,SI2,61.9,57.0,8.14,8.1,5.03,11379
8719,8720,0.57,Very Good,E,VS2,60.7,58.0,5.37,5.33,3.25,1732
19092,19093,0.42,Very Good,E,SI1,63.4,56.0,4.82,4.74,3.03,992
24566,24567,0.42,Premium,E,VS2,,59.0,4.8,4.76,3.0,1024
897,898,0.43,Ideal,F,IF,60.9,57.0,4.89,4.86,2.97,1580
9649,9650,0.42,Ideal,F,VVS1,62.0,55.0,4.84,4.81,2.99,1389
13881,13882,1.44,Premium,H,SI2,62.1,55.0,7.25,7.2,4.49,7419
24840,24841,0.5,Fair,G,VVS2,66.1,62.0,4.92,4.88,3.24,1659
2451,2452,0.3,Ideal,D,SI2,,55.0,4.26,4.25,2.68,574
3013,3014,1.04,Good,G,VS1,63.8,57.0,6.42,6.37,4.08,6360
14387,14388,0.4,Very Good,G,VS2,63.5,56.0,4.7,4.68,2.98,1035
15985,15986,1.14,Ideal,H,VS2,62.6,56.0,6.68,6.65,4.17,6095
10633,10634,1.02,Good,F,VS1,62.6,54.3,6.41,6.45,4.02,8011
25100,25101,0.31,Ideal,E,IF,61.3,58.0,4.37,4.4,2.69,1002
227,228,0.31,Premium,H,SI1,61.0,61.0,4.39,4.33,2.66,558
12244,12245,0.7,Good,H,VS2,,63.0,5.87,5.92,3.34,2187
19607,19608,0.58,Ideal,G,IF,60.9,57.0,5.39,5.46,3.3,2508
7826,7827,1.2,Very Good,H,I1,63.1,60.0,6.75,6.67,4.23,2850
6569,6570,0.57,Premium,F,SI1,59.5,58.0,5.43,5.36,3.21,1571
57,58,1.21,Ideal,I,VVS1,61.6,55.0,6.88,6.8,4.21,7086
5412,5413,0.34,Premium,E,VS2,62.8,58.0,4.45,4.43,2.79,956
12837,12838,0.3,Very Good,G,IF,61.4,59.0,4.27,4.3,2.63,831
3245,3246,1.0,Good,G,VVS2,61.6,60.0,6.34,6.38,3.92,7572
25793,25794,1.01,Premium,G,VVS2,58.5,59.0,6.66,6.6,3.88,6670
13639,13640,1.52,Premium,I,VS2,59.0,59.0,7.53,7.46,4.42,9057
13070,13071,0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2818
11782,11783,0.53,Good,D,SI1,63.8,56.0,5.16,5.12,3.28,1636
17219,17220,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,1155
19051,19052,1.02,Good,H,SI1,57.1,61.0,6.57,6.66,3.78,4093
26579,26580,1.04,Premium,H,SI1,62.6,59.0,6.47,6.43,4.04,4980
7641,7642,0.34,Ideal,G,VS1,61.3,55.0,4.52,4.55,2.78,898
11152,11153,0.43,Premium,D,SI2,62.6,58.0,4.79,4.82,3.01,716
134,135,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,526
11225,11226,0.31,Good,H,VS1,63.6,55.0,4.32,4.29,2.74,698
1561,1562,0.38,Premium,I,VS2,60.2,58.0,4.75,4.69,2.84,812
24487,24488,0.3,Premium,E,VS2,62.1,59.0,4.29,4.27,2.66,844
9812,9813,1.5,Very Good,G,VS1,60.2,58.0,7.38,7.41,4.45,13596
11286,11287,0.23,Ideal,E,VVS2,62.8,57.0,3.91,3.96,2.47,530
15951,15952,0.42,Premium,F,SI1,60.8,58.0,4.83,4.87,2.95,773
9045,9046,0.38,Ideal,F,SI2,61.3,55.0,4.67,4.69,2.87,568
24436,24437,0.51,Good,H,VS1,59.4,61.9,5.18,5.2,3.08,1376
22660,22661,0.56,Fair,E,VS2,64.7,60.0,5.13,5.14,3.32,1737
16883,16884,0.91,Good,F,VS1,63.1,59.0,6.14,6.19,3.89,4502
24479,24480,0.71,Ideal,E,VVS1,61.0,57.0,5.75,5.76,3.51,4860
19129,19130,0.28,Ideal,E,VVS2,60.3,57.0,4.21,4.25,2.55,646
9799,9800,2.04,Ideal,H,SI2,61.2,56.0,8.19,8.25,5.03,15874
10931,10932,0.51,Very Good,G,VVS2,60.9,56.0,5.17,5.21,3.16,1768
3328,3329,2.22,Ideal,G,SI2,60.9,57.0,8.47,8.42,5.14,15584
12160,12161,0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44,554
8773,8774,1.24,Premium,H,SI1,60.1,58.0,7.04,7.01,4.22,6215
10649,10650,0.31,Ideal,D,SI1,62.2,54.0,4.36,4.39,2.72,565
7624,7625,0.3,Ideal,D,VS1,60.8,58.0,4.31,4.34,2.63,742
20745,20746,0.41,Ideal,E,VS1,62.0,55.0,4.77,4.74,2.95,1153
1624,1625,0.7,Ideal,I,VVS2,61.6,56.5,5.65,5.72,3.51,2487
17942,17943,0.6,Premium,E,VS2,59.3,60.0,5.51,5.46,3.25,2124
20724,20725,0.61,Premium,H,SI1,59.5,62.0,5.55,5.51,3.29,1382
24165,24166,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,2770
15165,15166,0.31,Ideal,D,VS2,62.1,54.0,4.41,4.35,2.72,942
20963,20964,0.31,Very Good,H,VVS2,62.6,56.0,4.33,4.36,2.72,578
3197,3198,0.51,Premium,E,VS2,59.3,58.0,5.23,5.2,3.09,1662
22733,22734,0.39,Ideal,I,VVS2,62.3,54.0,4.66,4.69,2.91,787
26702,26703,0.31,Ideal,D,VVS1,60.4,56.0,4.38,4.43,2.66,984
25664,25665,0.32,Premium,H,VVS2,,58.0,4.33,4.37,2.71,645
12046,12047,1.29,Very Good,I,VS2,61.3,58.0,6.98,7.04,4.3,6099
18539,18540,0.31,Premium,E,VS2,61.7,58.0,4.34,4.31,2.67,872
862,863,1.57,Premium,G,SI1,59.5,58.0,7.56,7.61,4.51,10914
10197,10198,0.47,Premium,D,SI1,60.6,61.0,5.04,5.0,3.04,987
505,506,1.01,Very Good,H,SI2,63.9,56.0,6.29,6.38,4.05,4023
10152,10153,0.31,Good,H,VVS2,63.6,56.0,4.28,4.33,2.74,625
12883,12884,0.5,Ideal,E,VS2,61.8,55.0,5.11,5.06,3.14,1746
13899,13900,1.71,Ideal,E,SI2,61.9,57.0,7.69,7.65,4.75,11816
6616,6617,1.0,Good,J,VS1,,64.0,6.63,6.51,3.82,3920
6143,6144,0.9,Ideal,E,SI2,61.9,54.0,6.23,6.18,3.84,3958
2555,2556,0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5,2863
25387,25388,0.4,Very Good,D,SI1,,61.0,4.71,4.67,2.96,924
24512,24513,0.44,Very Good,I,VVS1,60.8,57.0,4.88,4.93,2.98,926
2647,2648,0.28,Very Good,F,IF,62.2,55.0,4.23,4.26,2.64,612
1224,1225,0.41,Premium,G,SI1,62.5,58.0,4.78,4.75,2.98,923
10340,10341,0.7,Premium,H,SI2,62.1,62.0,5.67,5.63,3.51,1999
22573,22574,2.03,Ideal,J,SI1,62.6,55.0,8.06,8.1,5.06,13357
9077,9078,0.32,Very Good,D,VS2,61.8,57.0,4.35,4.36,2.69,758
801,802,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,5813
18009,18010,0.32,Ideal,I,VS2,62.5,55.0,4.37,4.4,2.74,449
14402,14403,0.32,Very Good,I,VS2,63.0,56.0,4.38,4.42,2.77,449
10924,10925,0.31,Very Good,G,SI1,61.7,55.0,4.37,4.38,2.7,462
6024,6025,2.14,Very Good,D,SI2,60.3,60.0,8.31,8.43,5.05,18526
5140,5141,1.01,Ideal,I,VVS1,61.7,56.0,6.42,6.47,3.98,5478
8952,8953,0.39,Very Good,G,IF,63.5,56.0,4.67,4.65,2.96,1271
21037,21038,1.1,Very Good,H,SI1,63.0,57.0,6.5,6.54,4.11,4689
5315,5316,1.35,Very Good,G,VS2,62.8,59.0,7.01,7.04,4.41,9302
22439,22440,1.01,Very Good,G,SI2,63.1,55.0,6.36,6.31,4.0,3507
632,633,2.01,Premium,J,SI2,62.8,58.0,8.09,8.0,5.05,12407
6227,6228,0.91,Ideal,F,SI2,60.9,57.0,6.27,6.3,3.83,3588
23911,23912,2.07,Ideal,I,VS2,60.3,59.0,8.23,8.28,4.98,17045
17142,17143,1.28,Very Good,J,SI1,63.4,59.0,6.89,6.84,4.35,4967
13644,13645,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5000
10949,10950,0.31,Ideal,H,VS2,61.3,56.0,4.36,4.38,2.68,507
5486,5487,1.04,Very Good,H,SI2,60.2,60.0,6.52,6.57,3.94,4332
3011,3012,1.03,Ideal,G,VVS2,60.7,57.0,6.5,6.58,3.97,8385
14141,14142,1.24,Very Good,J,SI2,62.8,58.0,6.77,6.83,4.27,4789
3580,3581,1.51,Ideal,F,VS2,62.4,53.0,7.37,7.32,4.58,15688
13590,13591,1.11,Premium,J,SI1,59.5,58.0,6.89,6.77,4.07,3524
22427,22428,0.91,Very Good,I,VS2,,58.0,6.13,6.19,3.85,3579
5988,5989,0.23,Very Good,F,VVS2,63.1,56.0,3.93,3.96,2.49,472
26598,26599,0.51,Premium,E,VS1,62.3,56.0,5.14,5.13,3.2,1837
6788,6789,1.01,Good,I,SI1,58.4,64.0,6.51,6.48,3.79,3394
18299,18300,0.4,Good,E,SI1,63.8,56.0,4.7,4.74,3.01,687
7739,7740,0.3,Ideal,G,IF,62.1,55.0,4.35,4.31,2.69,956
6518,6519,1.77,Premium,G,SI2,62.7,59.0,7.67,7.66,4.8,9664
20020,20021,0.51,Ideal,H,VVS2,61.6,55.0,5.11,5.14,3.16,1877
21068,21069,2.38,Premium,J,VS2,62.6,59.0,8.52,8.49,5.32,16273
18884,18885,0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,4580
26386,26387,0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71,900
23103,23104,0.36,Premium,E,SI2,62.4,58.0,4.56,4.54,2.84,605
23535,23536,0.9,Very Good,G,VS2,62.5,57.0,6.12,6.14,3.83,4600
117,118,1.0,Premium,F,SI1,,59.0,6.4,6.36,4.0,5292
5074,5075,0.35,Ideal,E,VVS1,62.0,56.0,4.51,4.58,2.82,1044
24099,24100,0.77,Ideal,J,VS2,61.4,55.0,5.9,5.95,3.64,2159
22716,22717,1.2,Premium,E,VS2,63.0,58.0,6.75,6.71,4.24,9139
17740,17741,0.57,Very Good,D,SI2,62.9,57.0,5.26,5.3,3.32,1413
18873,18874,1.11,Very Good,E,SI2,62.0,58.0,6.61,6.68,4.12,4769
3144,3145,1.22,Premium,F,VS2,,58.0,6.89,6.86,4.26,8733
18679,18680,2.01,Fair,H,VS2,66.1,53.0,7.82,7.92,5.2,15888
13158,13159,0.31,Ideal,E,VVS2,61.4,58.0,4.33,4.37,2.67,755
20790,20791,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,403
16250,16251,0.51,Ideal,G,VVS2,61.9,55.0,5.19,5.15,3.2,1974
8487,8488,1.1,Ideal,F,SI2,62.4,56.0,6.58,6.62,4.12,5596
26,27,0.34,Ideal,D,SI1,,57.0,4.5,4.44,2.74,803
307,308,0.71,Very Good,J,SI2,60.9,55.0,5.76,5.87,3.54,1986
11970,11971,0.55,Premium,D,SI1,60.5,60.0,5.3,5.27,3.2,1698
25216,25217,0.59,Ideal,D,SI2,59.1,57.0,5.52,5.48,3.25,1425
19001,19002,0.83,Ideal,F,SI1,62.1,57.0,6.0,6.02,3.73,3010
697,698,0.31,Ideal,E,VVS1,60.5,57.0,4.38,4.41,2.66,942
152,153,1.16,Ideal,I,VS2,61.5,57.0,6.78,6.75,4.16,5302
21365,21366,0.9,Premium,E,VS1,59.4,59.0,6.31,6.28,3.74,5438
1748,1749,0.43,Ideal,J,SI1,61.9,54.0,4.88,4.84,3.01,708
5119,5120,0.32,Ideal,F,VVS2,60.8,58.0,4.39,4.43,2.68,837
26145,26146,0.77,Good,G,SI1,63.7,54.0,5.85,5.8,3.71,2373
15489,15490,0.67,Very Good,G,VVS1,62.0,56.0,5.6,5.62,3.48,3178
12870,12871,0.7,Ideal,J,SI1,60.4,56.0,5.71,5.74,3.46,1926
16742,16743,0.91,Good,F,SI1,64.0,57.0,6.17,6.08,3.92,3363
26865,26866,0.54,Ideal,G,VVS1,61.3,56.0,5.28,5.23,3.22,2087
11551,11552,0.9,Very Good,I,VS2,62.5,57.0,6.12,6.2,3.85,3209
15531,15532,0.58,Ideal,E,SI2,62.8,56.0,5.3,5.37,3.35,1346
1492,1493,1.0,Good,H,SI2,57.9,62.0,6.53,6.49,3.77,4592
